Кредит (актив),Вклад (пассив),Дата погашения,"Срок погашения, дней","Ставка, %",[ОТВЕТ] Номер группы,Пример группировки (для первых 20 сделок)
50000000.0,0.0,2018-06-07,77,0.934,3.0,5.0
0.0,50000000.0,2018-04-28,37,0.9745,4.0,4.0
121700000.0,0.0,2018-04-27,36,1.7603,10.0,2.0
111000000.0,0.0,2018-04-27,36,1.7603,10.0,2.0
0.0,55600000.0,2018-04-30,39,1.7669,10.0,2.0
550000000.0,0.0,2018-05-07,46,1.7935,14.0,2.0
0.0,24500000.0,2018-05-09,48,1.7999,12.0,2.0
0.0,22000000.0,2018-05-09,48,1.7999,12.0,2.0
0.0,10000000.0,2018-05-10,49,1.8105,12.0,2.0
11100000.0,0.0,2018-05-16,55,1.85,11.0,2.0
0.0,1100000.0,2018-05-17,56,1.8725,12.0,2.0
8000000.0,0.0,2018-05-17,56,1.8849,12.0,2.0
0.0,33000000.0,2018-06-04,74,2.0246,17.0,1.0
0.0,11300000.0,2018-06-05,75,2.0246,17.0,1.0
100000000.0,0.0,2018-06-11,81,2.0714,20.0,1.0
0.0,5000000.0,2018-06-11,81,2.0714,20.0,1.0
0.0,5000000.0,2018-06-11,81,2.0714,20.0,1.0
6100000.0,0.0,2018-06-14,84,2.1069,22.0,1.0
0.0,8200000.0,2018-06-14,84,2.1069,22.0,1.0
14400000.0,0.0,2018-06-18,88,2.1775,24.0,3.0
50000000.0,0.0,2018-05-21,60,1.8849,12.0,
0.0,52000000.0,2018-05-21,60,1.8921,12.0,
20000000.0,0.0,2018-05-24,63,1.9436,15.0,
50600000.0,0.0,2018-05-24,63,1.9436,15.0,
11000000.0,0.0,2018-05-24,63,1.9436,15.0,
0.0,25000000.0,2018-05-24,63,1.9436,15.0,
0.0,11000000.0,2018-05-24,63,1.9436,15.0,
25000000.0,0.0,2018-05-24,63,1.9436,17.0,
0.0,41800000.0,2018-06-01,71,2.0063,17.0,
18900000.0,0.0,2018-06-04,74,2.0246,17.0,
0.0,5900000.0,2018-06-04,74,2.0246,17.0,
14700000.0,0.0,2018-06-06,76,2.0252,17.0,
0.0,55400000.0,2018-06-06,76,2.0252,17.0,
60900000.0,0.0,2018-06-06,76,2.0252,17.0,
0.0,67800000.0,2018-06-07,77,2.0349,17.0,
0.0,127500000.0,2018-06-18,88,2.1775,24.0,
0.0,16000000.0,2018-05-31,70,1.9842,15.0,
102300000.0,0.0,2018-04-30,39,1.7669,10.0,
20500000.0,0.0,2018-05-04,43,1.787,12.0,
26000000.0,0.0,2018-05-10,49,1.8105,12.0,
80000000.0,0.0,2018-04-30,39,1.7723,12.0,
0.0,20600000.0,2018-05-14,53,1.8105,11.0,
0.0,76000000.0,2018-05-18,57,1.8849,12.0,
20600000.0,0.0,2018-06-04,74,2.0246,17.0,
0.0,103200000.0,2018-06-07,77,2.0349,17.0,
0.0,103300000.0,2018-06-08,78,2.0473,19.0,
0.0,54100000.0,2018-06-11,81,2.0714,20.0,
0.0,103100000.0,2018-06-14,84,2.1069,22.0,
50000000.0,0.0,2018-06-18,88,2.145,24.0,
0.0,54200000.0,2018-06-21,91,2.2225,25.0,
0.0,41000000.0,2018-04-23,32,1.7447,10.0,
0.0,14400000.0,2018-04-23,32,1.7447,10.0,
102500000.0,0.0,2018-04-27,36,1.7603,10.0,
0.0,20500000.0,2018-04-30,39,1.7603,10.0,
0.0,14300000.0,2018-05-01,40,1.7734,12.0,
0.0,8600000.0,2018-05-04,43,1.787,12.0,
0.0,78000000.0,2018-05-30,69,1.9842,15.0,
53100000.0,0.0,2018-05-08,47,1.7907,12.0,
10200000.0,0.0,2018-05-09,48,1.7999,12.0,
0.0,79300000.0,2018-05-10,49,1.8105,12.0,
101700000.0,0.0,2018-05-11,50,1.8105,12.0,
33000000.0,0.0,2018-05-11,50,1.8105,12.0,
77000000.0,0.0,2018-05-30,69,1.9842,15.0,
25500000.0,0.0,2018-05-16,55,1.85,11.0,
10500000.0,0.0,2018-05-16,55,1.85,11.0,
20000000.0,0.0,2018-05-18,57,1.8849,12.0,
0.0,20500000.0,2018-05-29,68,1.9436,15.0,
0.0,20400000.0,2018-05-29,68,1.9436,15.0,
0.0,8500000.0,2018-05-29,68,1.9842,15.0,
25000000.0,0.0,2018-04-24,33,1.7413,10.0,
0.0,25000000.0,2018-04-24,33,1.7413,10.0,
20400000.0,0.0,2018-04-25,34,1.7452,10.0,
14300000.0,0.0,2018-04-25,34,1.7452,10.0,
0.0,20500000.0,2018-04-27,36,1.7603,10.0,
20500000.0,0.0,2018-04-30,39,1.7723,12.0,
10600000.0,0.0,2018-04-30,39,1.7723,12.0,
0.0,20500000.0,2018-04-30,39,1.7723,12.0,
10600000.0,0.0,2018-04-30,39,1.7723,12.0,
23400000.0,0.0,2018-05-01,40,1.7734,12.0,
35100000.0,0.0,2018-05-01,40,1.7734,12.0,
0.0,50800000.0,2018-05-01,40,1.7734,12.0,
0.0,53000000.0,2018-05-01,40,1.7734,12.0,
0.0,20500000.0,2018-05-01,40,1.7734,12.0,
0.0,4200000.0,2018-05-02,41,1.7778,12.0,
0.0,10200000.0,2018-05-02,41,1.7778,12.0,
6600000.0,0.0,2018-05-04,43,1.787,12.0,
0.0,12300000.0,2018-05-08,47,1.7935,12.0,
10200000.0,0.0,2018-05-09,48,1.7999,12.0,
157000000.0,0.0,2018-05-15,54,1.8388,11.0,
158000000.0,0.0,2018-05-15,54,1.8388,11.0,
0.0,15000000.0,2018-05-10,49,1.8105,12.0,
5000000.0,0.0,2018-05-14,53,1.82,11.0,
10000000.0,0.0,2018-05-14,53,1.82,11.0,
1000000.0,0.0,2018-05-14,53,1.82,11.0,
10000000.0,0.0,2018-05-14,53,1.82,11.0,
10000000.0,0.0,2018-05-14,53,1.8334,11.0,
20000000.0,0.0,2018-05-15,54,1.8388,11.0,
0.0,1000000.0,2018-05-16,55,1.85,11.0,
10000000.0,0.0,2018-05-16,55,1.85,11.0,
10000000.0,0.0,2018-05-17,56,1.8849,12.0,
0.0,10000000.0,2018-05-17,56,1.8849,12.0,
0.0,10000000.0,2018-05-17,56,1.8849,12.0,
0.0,10000000.0,2018-05-21,60,1.8921,12.0,
0.0,50000000.0,2018-05-21,60,1.8921,12.0,
0.0,20800000.0,2018-05-21,60,1.8921,12.0,
0.0,10000000.0,2018-05-21,60,1.8921,12.0,
10000000.0,0.0,2018-05-23,62,1.9198,12.0,
0.0,10000000.0,2018-05-23,62,1.9198,12.0,
25000000.0,0.0,2018-05-23,62,1.9198,12.0,
0.0,1000.0,2018-05-24,63,1.9436,15.0,
0.0,20800000.0,2018-05-24,63,1.9436,15.0,
20800000.0,0.0,2018-05-24,63,1.9436,15.0,
0.0,20700000.0,2018-05-29,68,1.9842,15.0,
12500000.0,0.0,2018-06-01,71,2.0063,17.0,
